title,link,published,summary,category
UK and India agree trade deal after three years of talks,https://www.bbc.com/news/articles/c5y6y90e5vzo,"Tue, 06 May 2025 15:21:13 GMT","The deal will improve access for UK whisky and cars to the Indian market, and cut taxes on India's clothing and footwear exports.",news
Labour MPs' rage over election results simmers on,https://www.bbc.com/news/articles/ckg1rgr25e7o,"Tue, 06 May 2025 13:52:00 GMT",Anger over the party's drubbing in last week's local elections has not dissipated over the weekend.,news
King and Queen unveil Coronation portraits,https://www.bbc.com/news/articles/cd020z0dl2eo,"Tue, 06 May 2025 14:55:53 GMT",The two portraits will be on display at the gallery until they are moved to Buckingham Palace in June.,news
Deliveroo's takeover by US rival shows UK still can't hang on to big firms,https://www.bbc.com/news/articles/cvgp22d2kexo,"Tue, 06 May 2025 09:08:45 GMT",The takeover by a US firm shows the differing fortunes and attractions of US and UK stock markets.,news
Germany's Merz wins vote for chancellor after surviving historic defeat,https://www.bbc.com/news/articles/cvgp22zlrgko,"Tue, 06 May 2025 15:17:08 GMT",Conservative leader Friedrich Merz has won a parliament vote to become Germany's next chancellor at the second attempt.,news
Israel attacks main airport in Yemen's capital Sanaa,https://www.bbc.com/news/articles/c7050j07gedo,"Tue, 06 May 2025 15:09:19 GMT","Three civilian planes, the departures hall, the runway and a military air base were hit, reports say.",news
Visa crackdown on nationalities considered most likely to overstay in UK,https://www.bbc.com/news/articles/cn0wd75ne82o,"Tue, 06 May 2025 09:54:55 GMT","People from Pakistan, Nigeria and Sri Lanka may find it more difficult to come to the UK, under new plans.",news
"Mark Gordon to represent himself in court, baby death retrial told",https://www.bbc.com/news/articles/cjwvwdd2y35o,"Tue, 06 May 2025 14:03:49 GMT",Mark Gordon and Constance Marten deny the gross negligence manslaughter of their daughter Victoria.,news
Tributes paid to two riders killed in 11-bike British Supersport Championship crash,https://www.bbc.com/sport/motorsport/articles/c2lzl1n2yeeo,"Tue, 06 May 2025 13:22:43 GMT",The motorsport community pays tribute to two riders who died after a crash during a motorbike race at Oulton Park in Cheshire.,sport
What have we learned from Grand Theft Auto 6's second trailer?,https://www.bbc.com/news/articles/c4g2grmrx4po,"Tue, 06 May 2025 14:35:19 GMT","After pushing the much-anticipated sequel into 2026, developer Rockstar gives fans a new glimpse of the game.",news
27 of the best looks from Met Gala 2025,https://www.bbc.com/news/articles/c20xvd10xv5o,"Tue, 06 May 2025 07:46:32 GMT","The theme for this year's event was ""Superfine: Tailoring Black Style"", the first since 2003 to focus exclusively on menswear.",news
Attenborough at 99 delivers 'greatest message he's ever told',https://www.bbc.com/news/articles/cn0wjxg0ex1o,"Mon, 05 May 2025 23:01:14 GMT",Sir David says his new film Ocean is one of the most important of his career.,news
Online orders still paused and spaces on shelves – what we know about the M&S cyber chaos,https://www.bbc.com/news/articles/c0el31nqnpvo,"Tue, 06 May 2025 14:38:09 GMT","Online orders paused, food items missing from shelves - here's what we know about the chaos at M&amp;S.",news
Walkie talkies and total lockdown: How the conclave stays the world's most secretive vote,https://www.bbc.com/news/articles/c934rxzrly1o,"Mon, 05 May 2025 23:44:52 GMT",Cardinals are set to gather later this week to take part in a highly guarded vote for a new pope.,news
Americans used to be steadfast in their support for Israel. Those days are gone,https://www.bbc.com/news/articles/cr4n90g6v9qo,"Mon, 05 May 2025 23:11:35 GMT","To many, the close relationship between the US and Israel seems permanent and unshakeable.",news
Abuse victims question if Pope Francis did enough to stop predators,https://www.bbc.com/news/articles/c62x0ej1n7eo,"Tue, 06 May 2025 05:20:54 GMT",A Catholic priest abused Alexa MacPherson for six years. Did Pope Francis do enough on child abuse?,news
"'I'm an NHS dentist who took on 4,000 new patients - now I can't afford to treat them'",https://www.bbc.com/news/articles/cly54xpk5rro,"Tue, 06 May 2025 10:29:26 GMT",Practice says it took on new patients with NHS funding that has since been withdrawn.,news
Poppies pour across Tower of London to mark VE Day,https://www.bbc.com/news/articles/c1egwepv4gjo,"Tue, 06 May 2025 14:39:47 GMT","The ceramic flowers have been positioned to resemble a cascading ""wound"" at the heart of the castle.",news
No 10 resists growing calls within Labour for winter fuel rethink,https://www.bbc.com/news/articles/cy0xee5krnno,"Tue, 06 May 2025 13:33:35 GMT",Calls to abandon cuts to the pensions top-up have grown in the wake of local election losses last week.,news
Rebekah Vardy must pay £1.4m of Coleen Rooney's 'Wagatha' legal costs,https://www.bbc.com/news/articles/c7939wwxd0jo,"Tue, 06 May 2025 13:45:16 GMT","A judge says the ruling is ""the end of a long and unhappy road"" for Coleen Rooney and Rebekah Vardy.",news
Delivery delays and empty shelves at Co-op after cyber attack,https://www.bbc.com/news/articles/cze1eg3z307o,"Tue, 06 May 2025 15:25:09 GMT","The retailer says ""sustained malicious attempts by hackers"" is affecting its IT systems.",news
"Trump offers illegal immigrants $1,000 to 'self-deport'",https://www.bbc.com/news/articles/cx2y02wpz7po,"Tue, 06 May 2025 10:33:26 GMT","US officials say the incentive offers a ""dignified"" exit from the country for those who are there illegally.",news
Video shows 'very chill' wild beaver after 400-year absence,https://www.bbc.com/news/articles/c705le51rpzo,"Tue, 06 May 2025 05:28:49 GMT",Naturalist Iolo Williams said the clear sighting was one of the best things he had ever witnessed.,news
BBC News app,https://www.bbc.co.uk/news/10628994,"Wed, 30 Apr 2025 14:04:28 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests",news
"Old Newscast: The Fall of the Berlin Wall, 1989 (Part 1)",https://www.bbc.co.uk/sounds/play/p0l86xs2,"Mon, 05 May 2025 08:00:00 GMT",A day that transformed Europe.,sounds
The Interview: Is Prince Harry's safety at risk?,https://www.bbc.co.uk/sounds/play/w3ct7wzh,"Mon, 05 May 2025 07:30:00 GMT",Nada Tawfik speaks to Prince Harry about reconciliation with the royal family,sounds
Stunning stats and 'Ronaldo behaviour' - is Yamal cut out to rival Messi?,https://www.bbc.com/sport/football/articles/cr4nv6e1312o,"Tue, 06 May 2025 05:24:47 GMT","Lamine Yamal has already achieved more than Lionel Messi at the same age, will the 17-year-old build a legacy to rival the eight-time Ballon d'Or winner?",sport
Real trying to sign Alexander-Arnold in time for Club World Cup,https://www.bbc.com/sport/football/articles/c1lm00mp1elo,"Tue, 06 May 2025 13:18:58 GMT",Real Madrid are aiming to complete the signing of Trent Alexander-Arnold from Liverpool before the start of the Club World Cup.,sport
Tributes paid to two riders killed in motorcycle race,https://www.bbc.com/sport/motorsport/articles/c2lzl1n2yeeo,"Tue, 06 May 2025 13:22:43 GMT",The motorsport community pays tribute to two riders who died after a crash during a motorbike race at Oulton Park in Cheshire.,sport
Play Champions League Squares during Inter Milan v Barcelona,https://www.bbc.com/sport/football/articles/c36w005w9g7o,"Tue, 06 May 2025 06:29:56 GMT",Welcome to Uefa Champions League Squares - the new BBC Sport game which you can play alongside the live match action.,sport
Raducanu set-up 'working well' but jigsaw not complete,https://www.bbc.com/sport/tennis/articles/cp3139wv6vno,"Tue, 06 May 2025 13:32:54 GMT","Britain's Emma Raducanu believes her current coaching arrangement is working well but knows she will soon need to ""figure another solution out"".",sport
Ronaldo's son gets first Portugal Under-15s call-up,https://www.bbc.com/sport/football/articles/cm242ye9ppdo,"Tue, 06 May 2025 12:57:08 GMT",Cristiano's Ronaldo's eldest son is called up to the Portugal Under-15 squad for the first time.,sport
